"id","question","query_length","answer","retrieval_time_ms","generation_time_ms","total_time_ms","bleu_score","rouge_l_score","bertscore_f1","created_at"
93,"How can osteoporosis be prevented in men?","Medium","How can we prevent and manage osteoporosis in men?",25911,2864,28776,"0.1723243846523902","0.22222221722222232","0.9087189435958862","2025-07-21 11:45:00.902408"
94,"How does long-term steroid use affect bone health?","Medium","The effects of long-term steroid use on bone health are complex and multifactorial.",24540,4993,29533,"0.07920478864649845","0.3529411717474049","0.8559547662734985","2025-07-21 11:45:33.953083"
95,"What are the warning signs of oral cancer?","Medium","A high percentage of the population has not heard about oral cancer.",25744,4090,29835,"0.09196932184936042","0.20689654687277062","0.8486223220825195","2025-07-21 11:46:05.589435"
96,"What are the main causes of hypothyroidism in adults?","Medium","The most frequent cause of hypothyroidism in adults is autoimmune thyroiditis, especially Hashimoto's thyroiditis.",24233,5178,29412,"0.07562316203317582","0.07407406908093313","0.8745240569114685","2025-07-21 11:46:36.733668"
97,"How does poor dental hygiene impact cardiovascular health?","Medium","The combination of decreased frequency and duration of tooth brushing is associated with a higher risk of cardiovascular events in a general population including patients with cardiovascular disease.",17776,6117,23894,"0.10804434030762995","0.31249999595703126","0.8771329522132874","2025-07-21 11:47:02.118001"
98,"What are the different methods of contraception for women?","Medium","This study provides a snapshot of the prevalence of modern contraceptive method use in India.",24783,3293,28077,"0","0","0.8574697971343994","2025-07-21 11:47:34.010335"
99,"What lifestyle modifications are recommended for people with gout?","Medium","There is insufficient evidence from randomised controlled trials to support or refute the use of lifestyle modifications for the treatment of people with chronic gout.",7075,4116,11192,"0.0645777692487244","0.21428571135204083","0.8995200395584106","2025-07-21 11:47:47.390687"
100,"What are the complications of untreated sleep apnea?","Medium","Obstructive sleep apnea is a global health issue, and when left untreated could lead to severe neurological and cardiovascular complications.",23278,3719,26998,"0.05199702253186594","0.07692307298816588","0.8823105692863464","2025-07-21 11:48:15.826575"
101,"How does chronic kidney disease progress over time?","Medium","We investigated the temporal relationships between the onset of CKD and subsequent CKD development, and the impact of CKD on patient well-being.",23535,6987,30522,"0.04709516653805003","0.06060605561065239","0.8438536524772644","2025-07-21 11:48:48.055099"
102,"What are the benefits of breastfeeding for both mother and child?","Medium","Breastfeeding provides benefits for both mother and child.",23287,3037,26324,"0.4002012623853008","0.6666666619501135","0.8990775346755981","2025-07-21 11:49:16.064496"
103,"What are the main types of arrhythmias and how are they treated?","Medium","We reviewed the cases of arrhythmia in general practice and their outcomes.",28564,3267,31832,"0.10449732460612586","0.2758620641141499","0.9070817828178406","2025-07-21 11:49:49.362782"
104,"How does exposure to lead affect childhood development?","Medium","What are the potential mechanisms of lead toxicity in the developing brain?",24057,3171,27229,"0.12605968092174913","0.21052631091412755","0.9054483771324158","2025-07-21 11:50:18.699017"
105,"What are the screening guidelines for colon cancer in average-risk adults?","Medium","In our analysis, the majority of screening colonoscopies in average-risk individuals were performed at the age of 45 to 49 years.",21615,5518,27133,"0.04942474684004712","0.06896551272294917","0.8494632244110107","2025-07-21 11:50:47.565458"
106,"How do hormonal changes during menopause affect cardiovascular risk?","Medium","How do hormonal changes during the menopausal transition affect cardiometabolic risk?",24181,2822,27003,"0","0","0.8503208160400391","2025-07-21 11:51:17.761998"
107,"What new developments exist in the treatment of multiple sclerosis?","Medium","This study demonstrates the successful development of FNG-SLNs to enhance the therapeutic efficacy of FNG for the treatment of multiple sclerosis (MS).",33966,6378,40345,"0.12396144963279487","0.37499999507812504","0.8657792806625366","2025-07-21 11:51:59.931059"
113,"What are the risks and benefits of long-term statin therapy?","Medium","We found that statin therapy is associated with a lower risk of major cardiovascular diseases and all-cause mortality in people aged 40 years or older, regardless of their level of cholesterol or cardiovascular risk.",23419,6954,30374,"0.06658821488399955","0.29629629132373125","0.8768616318702698","2025-07-21 11:55:06.636004"
114,"How can digital health records improve patient outcomes in primary care?","Medium","We compared the electronic health record-integrated digital platform with the standard of care",25481,3383,28864,"0.11552155802176216","0.38461537964497045","0.8822465538978577","2025-07-21 11:55:36.953166"
115,"What are the potential dangers of herbal supplements when used with prescription drugs?","Long","Herbal supplements can interact with prescription drugs and may result in potentially dangerous drug-herb interactions.",9240,3878,13119,"0.09941490945601678","0.20689654673008337","0.8509265780448914","2025-07-21 11:55:51.458344"
116,"How can social determinants of health be addressed to reduce health disparities?","Medium","The results of this study demonstrate the need for tailored public health interventions that address both clinical and social risk factors for reducing health disparities and improving health outcomes.",21580,5577,27157,"0.04211415110983725","0.11428571020408178","0.8346512913703918","2025-07-21 11:56:20.14156"
118,"How can i determine the tumor?","Medium","The tumor size of a breast hamartoma can be determined by ultrasound (US) and magnetic resonance imaging (MRI).",23660,5695,29356,"0.05803921387929755","0.066666661866667","0.8340603113174438","2025-07-21 12:38:36.065956"
119,"What are the latest advancements in CAR-T cell therapy for solid tumors?","Medium","In this review, we have summarized the latest developments in CAR-T cell therapy for solid tumors, including its clinical trials and its therapeutic potential, as well as the challenges faced by CAR-T cells.",24249,12900,37150,"0.0789636899559721","0.260869560557656","0.8785852789878845","2025-07-21 13:18:14.986745"
120,"How are large language models being used to enhance diagnostic decision-making in rare diseases?","Long","Large language models are capable of transforming healthcare by enabling clinicians to better understand and diagnose realworld cases.",5986,5004,10990,"0.12846189726767718","0.2285714235755103","0.8670526742935181","2025-07-21 13:31:34.544452"
